"Course","BIOL434","Population Genetics","Biology","UBC","","zOxlTWRIV8RA"
"Course","BIOL436","Integrated Functional Genomics","Biology","UBC","","VASbotrJfa1x"
"Course","BIOL437","Laboratory in Animal Cell Molecular Biology","Biology","UBC","","0mfEUNcokBoC"
"Course","BIOL438","Zoological Physics","Biology","UBC","","i4KHqpgvBbHi"
"Course","BIOL440","Plant Genomics","Biology","UBC","","RPYd5KFL0hcc"
"Course","BIOL441","Cell Biology of Intracellular Trafficking","Biology","UBC","","Hg62EeWTXHRh"
"Course","BIOL445","Darwin's Fishes","Biology","UBC","","4w0GPfhlrftg"
"Course","BIOL446","History and Philosophy of Biology","Biology","UBC","","aTsT0NxtnQxn"
"Course","BIOL447","Principles and Methodology in Biological Research","Biology","UBC","","oJUa3pyLnx2q"
"Course","BIOL448A","Directed Studies in Biology - DIRECTED STUDIES","Biology","UBC","","yOgpfoCvHuzr"
"Course","BIOL448C","Directed Studies in Biology - DIRECTED STUDIES","Biology","UBC","","RNcvPNK3go0E"
"Course","BIOL448D","Directed Studies in Biology - DIRECTED STUDIES","Biology","UBC","","m8IdFRfcEw5V"
"Course","BIOL449","Directed Biological Research","Biology","UBC","","XA1BFE8q14UA"
"Course","BIOL450","Molecular Adaptation of Animals to the Environment","Biology","UBC","","scmyzZZLTZJX"
"Course","BIOL454","Comparative Animal Physiology","Biology","UBC","","laedDIIRl22P"
"Course","BIOL455","Comparative Neurobiology","Biology","UBC","","HyZCKsLpsH5y"
"Course","BIOL457","Comparative Environmental Physiology","Biology","UBC","","B3S33fU9HCuj"
"Course","BIOL458","Developmental Neurobiology","Biology","UBC","","mURBZK8C5C6J"
"Course","BIOL462","Ecological Plant Biochemistry","Biology","UBC","","DYJjvdr2a7Cp"
"Course","BIOL463","Gene Regulation in Development","Biology","UBC","","f8v0Ck3pvhfJ"
"Course","BIOL464","Animal Developmental Genetics","Biology","UBC","","I6zqdFt8vjPS"
"Course","BIOL465","Diversity and Evolution of Fishes","Biology","UBC","","gQwzb5cAdMsx"
"Course","BIOL490A","Student Directed Seminars - STUDNT DIR SEMNR","Biology","UBC","","SAuqUNXvxaQg"
"Course","BIOL498","Co-operative Work Placement III","Biology","UBC","","KX1WkXUtngTX"
"Course","BIOL499","Co-operative Work Placement IV","Biology","UBC","","LF1dHWw2UNcz"
"Course","BIOL501","Quantitative Methods in Ecology and Evolution","Biology","UBC","","sxP1choOE2by"
"Course","BIOL509","Population and Quantitative Genetics","Biology","UBC","","sFrdCxOXa0Hg"
"Course","BIOL530","The Biology of the Cell","Biology","UBC","","bkHGyHXaLpoR"
"Course","BIOL535","Teaching and Learning in the Life Sciences","Biology","UBC","","VHtUzk1wnxG7"
"Course","BIOL548G","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","Uv2XgF1oOCDg"
"Course","BIOL548I","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","cZ7DJDjy48ge"
"Course","BIOL548J","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","swS7fZ0ZavOW"
"Course","BIOL548L","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","WjbirEb3VqHZ"
"Course","BIOL548M","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","PowsHOpYCZXu"
"Course","BIOL548O","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","uEIYdM0PWW1w"
"Course","BIOL548P","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","sU8sWmfNJO6o"
"Course","BIOL548Q","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","JtK5yZFzoVEm"
"Course","BIOL548S","Advanced Topics in Biology - ADV TOPICS BIOL","Biology","UBC","","7XnX3rraFHay"
"Course","CHEM111","Structure, Bonding, and Equilibrium in Chemistry","Chemistry","UBC","","UVmzIJqOhf4l"
"Course","CHEM121","Structure and Bonding in Chemistry","Chemistry","UBC","","GzaBpgAbCru8"
"Course","CHEM123","Thermodynamics, Kinetics and Organic Chemistry","Chemistry","UBC","","M54vMwL0N5XJ"
"Course","CHEM154","Chemistry for Engineering","Chemistry","UBC","","mViXHzmSd3uI"
"Course","CHEM203","Introduction to Organic Chemistry","Chemistry","UBC","","Ah6CB3NR5CLw"
"Course","CHEM205","Physical Chemistry","Chemistry","UBC","","eLQENgta96ai"
"Course","CHEM208","Coordination Chemistry","Chemistry","UBC","","Kualpwd5PRay"
"Course","CHEM211","Introduction to Chemical Analysis","Chemistry","UBC","","1HyeBngB4bcf"
"Course","CHEM213","Organic Chemistry","Chemistry","UBC","","Q5tBziYVllKt"
"Course","CHEM218","Fundamentals of Reactivity in Inorganic Chemistry","Chemistry","UBC","","Vql8KQucFuff"
"Course","CHEM233","Organic Chemistry for the Biological Sciences","Chemistry","UBC","","tzfGc9s4FJCc"
"Course","CHEM235","Organic Chemistry Laboratory","Chemistry","UBC","","RA4hOOm8G14x"
"Course","CHEM245","Intermediate Synthetic Chemistry Laboratory","Chemistry","UBC","","HdXrDtGNSmxa"
"Course","CHEM250","Inorganic Chemistry","Chemistry","UBC","","bw9foCu87meK"
"Course","CHEM251","Physical Chemistry for Engineers","Chemistry","UBC","","McCQnG4lSBNA"
"Course","CHEM260","Organic Chemistry for Engineers","Chemistry","UBC","","vHxLHNXhYvqJ"
"Course","CHEM300","Communicating Chemistry","Chemistry","UBC","","hfHiMeOFOcyi"
"Course","CHEM301","Aqueous Environmental Chemistry","Chemistry","UBC","","N3HYcVpO9eVW"
"Course","CHEM302","Atmospheric Environmental Chemistry","Chemistry","UBC","","hAtEr88Lb2sx"
"Course","CHEM304","Fundamentals of Thermodynamics and Statistical Mechanics","Chemistry","UBC","","HQImuB1fxteu"
"Course","CHEM305","Biophysical Chemistry","Chemistry","UBC","","W9hxHH4wlmL6"
"Course","CHEM311","Instrumental Analytical Chemistry","Chemistry","UBC","","1IZAW84yNPt3"
"Course","CHEM312","Introduction to Quantum Mechanics and Spectroscopy","Chemistry","UBC","","LrutRlj5xGfH"
"Course","CHEM313","Advanced Organic Chemistry for the Life Sciences","Chemistry","UBC","","OYTu6miYS1ol"
"Course","CHEM315","Chemistry Integrated Laboratory I","Chemistry","UBC","","zjfWzZOsyesZ"
"Course","CHEM318","Principles of Catalysis","Chemistry","UBC","","ZDnVuRLWOO0W"
"Course","CHEM319","Practical Skills for Chemical Research","Chemistry","UBC","","nqDGi8rLwTUE"
